Date,Total Yield (Smooth),GridDurationHours,MaintDurationHours,DelREMO,Temp (Smooth),Cloud Cover (Smooth)
2020-10-09,305.2006666666667,0.0,0.0,0.3372222222222222,28.186666666666664,4.633333333333333
2020-10-10,305.714,0.0,0.0,0.0841666666666666,28.08,2.6466666666666665
2020-10-11,310.32599999999996,0.0,0.0,0.0841666666666666,27.953333333333333,0.22666666666666663
2020-10-12,306.55266666666665,0.0,0.0,2.013055555555556,27.840000000000003,0.21999999999999997
2020-10-13,297.4666666666667,0.0,0.0,0.0,27.793333333333337,0.84
2020-10-14,293.7273333333334,0.0,0.0,0.0838888888888888,27.766666666666666,1.04
2020-10-15,292.6606666666667,0.0,0.0,0.0,27.653333333333332,1.3733333333333333
2020-10-16,291.6066666666666,0.0019444444444444,0.0,0.0,27.28,1.3733333333333333
2020-10-17,288.90066666666667,0.0,0.0,0.0,27.086666666666666,1.3733333333333333
2020-10-18,288.38666666666666,0.0,0.0,0.0841666666666666,26.919999999999998,1.3733333333333333
2020-10-19,287.29999999999995,0.0,0.0,0.1686111111111111,26.673333333333332,1.3733333333333333
2020-10-20,284.9406666666667,0.0,0.0,1.853055555555556,26.4,1.3733333333333333
2020-10-21,281.84000000000003,0.0,0.0,0.0,26.093333333333334,1.9333333333333333
2020-10-22,277.134,0.0,0.0,0.3366666666666666,25.806666666666672,3.18
2020-10-23,274.7733333333333,0.0,0.0,0.59,25.460000000000008,3.18
2020-10-24,269.74,0.0019444444444444,0.0,0.6747222222222222,25.193333333333335,3.18
2020-10-25,267.814,0.0038888888888888,0.0,0.3366666666666666,24.986666666666665,3.28
2020-10-26,261.1546666666667,0.0,0.0,0.1683333333333333,24.73333333333333,3.826666666666666
2020-10-27,261.44733333333335,0.0077777777777777,0.0,0.0838888888888888,24.453333333333333,3.826666666666666
2020-10-28,267.31399999999996,0.0019444444444444,0.0,0.0841666666666666,24.080000000000002,3.206666666666666
2020-10-29,264.76666666666665,0.0,0.0,0.0841666666666666,23.653333333333336,2.7866666666666666
2020-10-30,258.906,0.0019444444444444,0.0,2.158055555555556,23.3,2.453333333333333
2020-10-31,257.406,0.0038888888888888,0.0,2.440555555555556,23.23333333333333,2.82
2020-11-01,254.85266666666666,0.0,0.0,0.0,23.013333333333332,2.82
2020-11-02,249.02666666666667,0.0,0.0,0.0,22.56,2.82
2020-11-03,241.58,0.0022222222222222,0.0,0.0,22.206666666666667,2.82
2020-11-04,234.58,0.0,0.0,0.0,21.96,2.82
2020-11-05,230.84666666666666,0.0,0.0,0.0,21.800000000000004,2.26
2020-11-06,230.51933333333332,0.0,0.0,0.0,21.640000000000004,1.0133333333333332
2020-11-07,240.632,0.0,0.0,0.6794444444444444,21.486666666666668,1.0133333333333332
2020-11-08,240.36533333333335,0.0,0.0,0.0,21.146666666666665,1.0133333333333332
2020-11-09,237.90466666666669,0.0,0.0,0.0838888888888888,20.75333333333333,0.9133333333333333
2020-11-10,241.01866666666666,0.0,0.0,0.0,20.44,0.48
2020-11-11,236.89933333333332,0.0,0.0,2.7647222222222223,20.16,0.48
2020-11-12,231.87199999999999,0.0,0.0,3.3374999999999995,19.919999999999998,0.52
2020-11-13,229.79933333333335,0.0,0.0,0.0838888888888888,19.713333333333335,0.52
2020-11-14,226.28733333333332,0.0,0.0,0.0,19.493333333333336,0.6066666666666667
2020-11-15,218.77399999999997,0.0019444444444444,0.0,0.0841666666666666,19.313333333333333,4.14
2020-11-16,208.17266666666666,0.0,0.0,0.0841666666666666,19.066666666666666,8.36
