Date,Total Yield [kWh],Inverter 1 [kWh]
2020-09-25,272.8,272.8
2020-09-26,225.91,225.91
2020-09-27,324.3,324.3
2020-09-28,307.7,309.2
2020-09-29,316.39,316.39
2020-09-30,325.0,325.0
2020-10-01,297.31,297.31
2020-10-02,312.5,312.5
2020-10-03,322.8,322.8
2020-10-04,331.39,331.39
2020-10-05,337.5,337.5
2020-10-06,332.31,332.31
2020-10-07,311.89,311.89
2020-10-08,284.91,284.91
2020-10-09,275.3,275.3
2020-10-10,280.5,280.5
2020-10-11,295.09,295.09
2020-10-12,267.7,267.7
2020-10-13,171.41,171.41
2020-10-14,260.3,260.3
2020-10-15,309.0,309.0
2020-10-16,281.5,281.5
2020-10-17,271.91,271.91
2020-10-18,315.09,315.09
2020-10-19,315.09,315.09
2020-10-20,302.11,302.11
2020-10-21,285.8,285.8
2020-10-22,241.3,241.3
2020-10-23,249.5,249.5
2020-10-24,199.8,199.8
2020-10-25,251.61,251.61
2020-10-26,195.2,195.2
2020-10-27,272.09,272.09
2020-10-28,259.41,259.41
2020-10-29,222.09,222.09
2020-10-30,221.09,221.09
2020-10-31,259.0,259.0
2020-11-01,233.61,233.61
2020-11-02,227.7,227.7
2020-11-03,203.39,203.39
2020-11-04,197.11,197.11
2020-11-05,229.8,229.8
2020-11-06,236.39,236.59
2020-11-07,401.19,202.5
2020-11-08,195.8,2.5
2020-11-09,214.7,214.7
2020-11-10,241.91,241.91
2020-11-11,210.3,210.3
2020-11-12,184.0,184.0
2020-11-13,191.0,191.0
2020-11-14,168.41,168.41
2020-11-15,146.3,146.3
2020-11-16,74.59,74.59
2020-11-17,265.5,265.5
2020-11-18,271.61,271.61
2020-11-19,227.3,227.3
2020-11-20,273.2,273.2
2020-11-21,302.3,302.3
2020-11-22,243.39,243.39
2020-11-23,140.41,140.41
2020-11-24,116.0,116.0
2020-11-25,27.91,27.91
2020-11-26,213.0,213.0
2020-11-27,288.69,288.69
2020-11-28,270.0,270.0
2020-11-29,227.41,227.41
2020-11-30,243.5,243.5
2020-12-01,227.7,227.7
2020-12-02,228.89,228.89
2020-12-03,207.61,207.61
2020-12-04,161.89,161.89
2020-12-05,153.7,153.7
2020-12-06,179.11,179.11
2020-12-07,197.89,197.89
2020-12-08,214.61,214.61
2020-12-09,200.3,200.3
2020-12-10,213.2,213.2
2020-12-11,222.19,222.19
2020-12-12,183.41,183.41
2020-12-13,70.41,70.41
2020-12-14,37.5,37.5
2020-12-15,212.69,212.69
2020-12-16,131.31,131.31
2020-12-17,201.3,201.3
2020-12-18,262.7,262.7
2020-12-19,162.59,162.59
2020-12-20,250.8,250.8
2020-12-21,215.2,215.2
2020-12-22,201.8,201.8
2020-12-23,204.8,204.8
2020-12-24,204.31,204.31
2020-12-25,196.5,196.5
2020-12-26,130.09,130.09
2020-12-27,153.59,153.59
2020-12-28,247.41,247.41
2020-12-29,209.91,209.91
2020-12-30,97.8,97.8
2020-12-31,137.8,137.8
2021-01-01,73.59,73.59
2021-01-02,47.91,47.91
2021-01-03,119.09,119.09
